Movie Name,Director,Year,Genre,Rating
Toy Story,John Lasseter,1995,Animation/Adventure/G/G/G,G
The Lion King,Roger Allers/Rob Minkoff,1994,Animation/Drama/G/G/G,G
Finding Nemo,Andrew Stanton,2003,Animation/Adventure/G/G/G,G
Frozen,Chris Buck/Jennifer Lee,2013,Animation/Musical/PG/PG/PG,PG
E.T. the Extra-Terrestrial,Steven Spielberg,1982,Sci-Fi/Family/PG/PG/PG,PG
The Wizard of Oz,Victor Fleming,1939,Fantasy/Musical/G/G/G,G
Beauty and the Beast,Gary Trousdale/Kirk Wise,1991,Animation/Romance/G/G/G,G
Shrek,Andrew Adamson/Vicky Jenson,2001,Animation/Comedy/PG/PG/PG,PG
The Incredibles,Brad Bird,2004,Animation/Action/PG/PG/PG,PG
Aladdin,Ron Clements/John Musker,1992,Animation/Adventure/G/G/G,G
Home Alone,Chris Columbus,1990,Comedy/Family/PG/PG/PG,PG
The Little Mermaid,Ron Clements/John Musker,1989,Animation/Musical/G/G/G,G
Up,Pete Docter,2009,Animation/Adventure/PG/PG/PG,PG
Monsters Inc.,Pete Docter,2001,Animation/Comedy/G/G/G,G
Spirited Away,Hayao Miyazaki,2001,Animation/Fantasy/PG/PG/PG,PG
WALL-E,Andrew Stanton,2008,Animation/Sci-Fi/G/G/G,G
Zootopia,Byron Howard/Rich Moore,2016,Animation/Comedy/PG/PG/PG,PG
The Lego Movie,Phil Lord/Christopher Miller,2014,Animation/Adventure/PG/PG/PG,PG
Coco,Lee Unkrich,2017,Animation/Fantasy/PG/PG/PG,PG
How to Train Your Dragon,Dean DeBlois/Chris Sanders,2010,Animation/Adventure/PG/PG/PG,PG
Paddington,Paul King,2014,Comedy/Family/PG/PG/PG,PG
The Princess Bride,Rob Reiner,1987,Adventure/Romance/PG/PG/PG,PG
Mary Poppins,Robert Stevenson,1964,Musical/Fantasy/G/G/G,G
Ratatouille,Brad Bird,2007,Animation/Comedy/G/G/G,G
The Iron Giant,Brad Bird,1999,Animation/Sci-Fi/PG/PG/PG,PG
Inside Out,Pete Docter,2015,Animation/Comedy/PG/PG/PG,PG
The Neverending Story,Wolfgang Petersen,1984,Fantasy/Adventure/PG/PG/PG,PG
Willy Wonka & the Chocolate Factory,Mel Stuart,1971,Family/Fantasy/G/G/G,G
Big Hero 6,Don Hall/Chris Williams,2014,Animation/Action/PG/PG/PG,PG
Kung Fu Panda,Mark Osborne/John Stevenson,2008,Animation/Action/PG/PG/PG,PG
Brave,Mark Andrews/Brenda Chapman,2012,Animation/Adventure/PG/PG/PG,PG
The Goonies,Richard Donner,1985,Adventure/Comedy/PG/PG/PG,PG
Wreck-It Ralph,Rich Moore,2012,Animation/Adventure/PG/PG/PG,PG
Despicable Me,Pierre Coffin/Chris Renaud,2010,Animation/Comedy/PG/PG/PG,PG
